Training,ROUGH,TWI,SLOPE,SPI,LANDCOVER,ELEVATION,CURVE,ASPECT
1,0.524516,2.667879,33.178138,0.277846,5,1697,0.55326,151.189209
1,0.487106,9.888841,30.647118,0.901767,5,1574,-0.025733,188.246323
1,0.507181,-1.649434,39.931837,-0.198968,2,887,0.707659,154.112976
1,0.496859,-2.079559,32.888536,-0.138989,6,1145,0.205864,218.713104
1,0.483484,8.780853,36.071828,0.984397,6,1377,-0.784858,227.309067
1,0.499137,-3.223389,19.329268,-0.192626,2,1799,0.0386,106.090813
1,0.476541,4.392988,33.279989,0.486802,4,2160,-0.501794,0.360346
1,0.500954,5.109399,34.826757,0.617979,5,1509.5,-0.84919,170.483978
1,0.477607,0.472593,34.612854,-0.015739,5,1497.5,-0.154398,168.936493
1,0.483477,7.261955,28.237119,0.749512,6,1005.5,-1.235186,348.13562
1,0.475897,0.442035,16.790291,0.016486,6,1100.5,-0.270197,236.496567
1,0.434909,10.2857,37.305415,0.880568,6,1135,-1.196586,218.107574
1,0.48554,1.773738,33.250704,0.361898,6,1375.5,-0.231597,275.463837
1,0.519505,-6.897032,29.334722,-0.628627,6,1499,0.559694,255.124313
1,0.495153,-8.449572,29.706039,-0.510728,5,2156.5,0.482494,121.171349
1,0.508472,-1.718188,24.276469,-0.126309,5,2118.5,0.135098,111.801407
1,0.485511,-6.005438,33.784119,-0.705681,5,1640,0.173698,109.515877
1,0.443647,26.62321,26.509232,0.954479,5,1492,-1.621181,192.994614
1,0.507931,6.181609,28.438647,0.470922,5,1578.5,-0.135098,217.443649
1,0.512309,-7.329735,40.027657,-0.730611,5,1769,1.929978,179.356247
1,0.502904,-1.957943,40.795743,-0.362516,6,3000.5,0.057899,226.432098
1,0.473429,0.688192,30.520935,0.01196,6,2359,-0.051466,257.699463
1,0.518948,-8.090174,21.397712,-0.573237,2,1968,0.797724,98.130104
1,0.504216,-6.57246,29.15054,-0.559606,5,1579,0.874923,242.495758
1,0.402454,9.141731,17.347136,-0.01925,5,1709,-0.784858,158.749496
1,0.521344,-0.514314,43.460497,-0.136206,6,2879,1.222319,264.119843
1,0.503961,5.652735,45.789385,0.934391,5,1314,-2.045777,158.058273
1,0.530775,2.447981,24.346434,0.129935,5,1332,0.373129,193.240524
1,0.499296,-1.911997,40.735864,-0.312962,6,932,-0.810591,318.456604
1,0.484106,1.751701,40.906759,0.586824,5,1741,-0.128665,24.863697
1,0.509028,7.636978,39.18736,1.176049,6,922,-0.559694,334.369751
1,0.506094,1.225724,29.444519,0.202212,2,1911,0.521094,273.95755
